Title,Posted Date,Closed Date,Link,Source
USAID/Kenya and East Africa Private Sector Development Initiative,03/07/2022,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=338564,Grants.gov
Kenya Feed the Future Scaling Inclusive Food Systems,03/07/2022,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=338544,Grants.gov
Addressing Ocean Plastics in Kenya,08/27/2021,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=335472,Grants.gov
Sustainable Management of Tsavo and Amboseli Landscapes,06/25/2021,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=334342,Grants.gov
Achieving and Sustaining HIV/TB Epidemic Control in the Limpopo Province,10/28/2022,01/23/2023,https://www.grants.gov/web/grants/view-opportunity.html?oppId=344187,Grants.gov
Achieving and Sustaining HIV/TB Epidemic Control  in the KwaZulu-Natal Province Achieving and Sustaining HIV/TB Epidemic Control in the KwaZulu-Natal Province,10/24/2022,01/17/2023,https://www.grants.gov/web/grants/view-opportunity.html?oppId=344159,Grants.gov
Notice of Funding Opportunity for the Eastern Tribal Technical Assistance Program (TTAP) Center,12/01/2022,02/06/2023,https://www.grants.gov/web/grants/view-opportunity.html?oppId=344391,Grants.gov
FY23-24 CRCP State and Territorial Coral Reef Conservation Cooperative Agreements,08/10/2022,02/15/2023,https://www.grants.gov/web/grants/view-opportunity.html?oppId=343084,Grants.gov
African Institutions Innovation Mechanism (AIIM),02/28/2012,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=147073,Grants.gov
USAID/Ghana Low-Cost Private School (LCPS) Activity,03/18/2022,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=338759,Grants.gov
Supporting Local Governance and Essential Services in Syria,12/22/2022,02/06/2023,https://www.grants.gov/web/grants/view-opportunity.html?oppId=345082,Grants.gov
"Strengthening Scale Up of HIV Prevention, Care and Treatment Programs in South Sudan under the President's Emergency Plan for AIDS Relief (PEPFAR)",01/11/2023,03/13/2023,https://www.grants.gov/web/grants/view-opportunity.html?oppId=344346,Grants.gov
"Sustainable, Innovative, and Agile Community and Facility HIV Prevention, Care and Treatment Services for Epidemic Control among all Populations in Zimbabwe under the President&rsquo;s Emergency Plan for AIDS Relief (PEPFAR)",01/12/2023,03/13/2023,https://www.grants.gov/web/grants/view-opportunity.html?oppId=344338,Grants.gov
